Country name,Country code,Year,Number of deaths from disasters,Number of people injured from disasters,Number of total people affected by disasters,Number of people left homeless from disasters,Total economic damages from disasters as a share of GDP,Number of deaths from drought,Number of people injured from drought,Number of total people affected by drought,Number of people left homeless from drought,Total economic damages from drought as a share of GDP,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Number of people left homeless from earthquakes,Total economic damages from earthquakes as a share of GDP,Number of deaths from volcanic activity,Number of people injured from volcanic activity,Number of total people affected by volcanic activity,Number of people left homeless from volcanic activity,Total economic damages from volcanic activity as a share of GDP,Number of deaths from floods,Number of people injured from floods,Number of total people affected by floods,Number of people left homeless from floods,Total economic damages from floods as a share of GDP,Number of deaths from mass movements,Number of people injured from mass movements,Number of total people affected by mass movements,Number of people left homeless from mass movements,Total economic damages from mass movements as a share of GDP,Number of deaths from storms,Number of people injured from storms,Number of total people affected by storms,Number of people left homeless from storms,Total economic damages from storms as a share of GDP,Number of deaths from landslides,Number of people injured from landslides,Number of total people affected by landslides,Number of people left homeless from landslides,Total economic damages from landslides as a share of GDP,Number of deaths from wildfires,Number of people injured from wildfires,Number of total people affected by wildfires,Number of people left homeless from wildfires,Total economic damages from wildfires as a share of GDP,Number of deaths from extreme temperatures,Number of people injured from extreme temperatures,Number of total people affected by extreme temperatures,Number of people left homeless from extreme temperatures,Total economic damages from extreme temperatures as a share of GDP
#country+name,#country+code,#date+year,#affected+dead+disasters,#affected+injured+disasters,#affected+total+disasters,#affected+homeless+disasters,#impact+econ+gdp+disasters,#affected+dead+drought,#affected+injured+drought,#affected+total+drought,#affected+homeless+drought,#impact+econ+gdp+drought,#affected+dead+earthquake,#affected+injured+earthquake,#affected+total+earthquake,#affected+homeless+earthquake,#impact+econ+gdp+earthquake,#affected+dead+volcanic,#affected+injured+volcanic,#affected+total+volcanic,#affected+homeless+volcanic,#impact+econ+gdp+volcanic,#affected+dead+floods,#affected+injured+floods,#affected+total+floods,#affected+homeless+floods,#impact+econ+gdp+floods,#affected+dead+massmovement,#affected+injured+massmovement,#affected+total+massmovement,#affected+homeless+massmovement,#impact+econ+gdp+massmovement,#affected+dead+storms,#affected+injured+storms,#affected+total+storms,#affected+homeless+storms,#impact+econ+gdp+storms,#affected+dead+landslide,#affected+injured+landslide,#affected+total+landslide,#affected+homeless+landslide,#impact+econ+gdp+landslide,#affected+dead+fire,#affected+injured+fire,#affected+total+fire,#affected+homeless+fire,#impact+econ+gdp+fire,#affected+dead+temperature,#affected+injured+temperature,#affected+total+temperature,#affected+homeless+temperature,#impact+econ+gdp+temperature
Afghanistan,AFG,2020,209749,734828,3693680,2459275,3.4489514312598235,284012,10195,15112962,3476266,9.847881139378496,582444,983298,14903002,1639651,2.244551408853632,885597,1331823,21727460,1899919,0.9650922362857696,1257451,75798,38945302,2357713,3.442263576991614,1074805,4451588,24223348,197697,7.986342858534194,263212,193180,23149610,1293497,5.343055031168643,106271,1449854,1102223,2861456,2.1335467852817547,1600763,844437,59141017,2375400,7.348088711536463,248231,1946594,4333028,734650,7.030202822418827
Albania,ALB,2020,736754,579665,24894142,1056915,3.075953606667955,1256269,159939,11649984,558419,0.8397015273416486,320508,2744206,6376034,288130,0.6586418270820871,323104,464370,9450610,1525554,4.654047398558299,1876360,997089,711103,1130794,3.86358284493181,2161493,103485,8562908,2091822,5.930298752033959,470943,2543364,721254,2098107,8.171522785179592,592087,1958710,5961739,1492251,7.0312956490385,1360806,500687,5567505,804085,4.10835753515117,3877803,585560,311683,751653,7.1631531634397145
Algeria,DZA,2020,319905,1005859,1362437,317460,2.1960966539437066,1314621,1249176,28303005,142029,7.5593355361772865,226475,673777,22162914,1162141,2.0024919999916726,301697,179131,24234541,671675,5.151632759250365,1602369,383813,3628203,888605,0.7746560013636206,4295564,246691,21765672,1404780,2.537639284724005,220541,1564642,3664077,358668,5.225761508993872,892747,769284,13077570,639809,1.9820203828437264,686375,154366,5768793,409945,3.550266025649522,362936,729378,20386545,1364834,7.79046827498053
American Samoa,ASM,2020,77572,1356997,17944653,620534,9.816209712075096,1295960,1331101,14042064,24819,6.561605791786223,1278499,33253,1324594,751719,8.476247334090734,4004386,2975505,37691301,22712,3.011175742029205,598485,578329,3064526,1008994,2.768720530608509,569623,1850461,11955660,1794392,7.929797401966545,2369259,889227,26786333,176436,4.674411448594697,168090,327577,12189298,126096,4.0258588478611,157893,266668,9816801,763891,5.874401445816555,608799,28797,49775211,1678582,5.453839172926043
Andorra,AND,2020,137499,2394878,14483817,121296,8.602717002411552,832084,982510,8153664,2437835,0.8057461832551349,873020,208856,28239319,163043,8.577464511348502,5281412,906517,49818969,222047,7.653717568486186,417854,1759552,525955,586225,2.425302985215324,2129420,607203,10524349,846547,9.103585037547008,64893,201764,2827793,279984,0.9267891976052334,517887,4431,3500634,614270,4.626943278119171,937372,291858,10446236,252922,6.641711557607925,1647206,5850,421541,1395998,8.45623582514033
Angola,AGO,2020,133223,743360,7873718,413145,6.61417105466625,1644237,819627,7255948,1287663,5.342196924844467,338458,1162549,3484997,3851916,0.0715277484395104,334328,700719,2122670,60015,3.2524558766353757,82605,1719010,6027976,547198,7.398829593093639,1498207,130380,20717344,778926,8.93040285057181,2011385,306335,9632604,1361906,2.0316505370632134,1991543,1979827,7593201,138753,5.922073656943768,1230282,659821,30465969,55932,7.962892092632712,4674694,724506,18421344,1187382,3.6866057931930674
Antigua and Barbuda,ATG,2020,521156,514890,792862,127040,5.306406804269094,314720,300740,266852,533863,2.756910675505797,829515,270987,17221078,1715157,8.236170037900104,180037,1252266,15562971,641414,7.813440054212702,20968,567943,7229349,681318,7.474564980710008,349211,2673423,1745624,1074701,1.8802834766806,808216,2782430,5056983,598950,8.57461989232418,1231001,221331,10632747,2174927,8.322022764038161,100096,266470,11497020,563393,3.1895106891162053,142719,1875054,5220119,1007029,9.218937364825798
Argentina,ARG,2020,64347,713412,7236851,1225,1.7874275018071506,116913,140876,32745028,152513,3.4547533088427187,1026986,1878746,15969568,550448,8.856879853708588,839725,1096598,1347878,585141,7.528830181999002,498597,803928,8122829,446015,1.0134765998177553,80479,1179784,2976338,2545998,8.211376109702682,3851522,4880529,28822248,229257,4.928361705418819,2000263,424923,3334885,558123,2.2705144289889456,2296148,1219931,9880552,1109070,0.0409966564968267,1341617,1824095,15046661,713454,6.191972626157542
Armenia,ARM,2020,860813,751965,1399835,386537,3.61123748325918,460633,370604,8264095,1014347,9.967743364194384,238538,2710523,11517582,1937739,2.716558749498008,92905,571216,1072805,834566,0.0492376416376338,1440553,418215,6953799,2793046,2.406029616681588,610120,195690,8722811,1322871,6.9349376886650935,779232,798934,17818858,893383,5.975208968845962,553574,385769,21000958,1057488,3.4004050074452694,1406560,1307852,1548148,1086932,2.6754521419576816,69826,663656,12191848,1446938,1.9715113689211292
Australia,AUS,2020,36014,164865,10369718,767927,7.316029147197746,647903,2420202,5607343,2244304,8.583583490855592,615244,1285100,4892951,1546044,1.3245619328205482,1047421,971033,19726056,318349,0.5699768246925563,1615696,372304,27294913,662466,5.590660146555653,683860,1393017,7959282,1007944,5.835060802214168,24497,14343,1818838,63774,8.176577717052515,1459355,376525,1661741,156525,3.835238294671992,1291033,875525,7793256,1528936,8.399388312368101,1836491,384989,7060453,292953,5.437877905123311
